"citric acid","chlorides","pH","alcohol","quality"
0.37,0.039,3.01,10.8,5
0.12,0.06,3.22,8.9,5
0.23,0.034,3.05,11.2,5
0.25,0.048,3.28,10.5666666666667,5
0.25,0.048,3.28,10.6,5
0.21,0.117,3.11,9.3,5
0.06,0.042,3.44,10.2,5
0.06,0.042,3.44,10.2,5
0.47,0.051,3.24,9.6,5
0.41,0.048,3.09,11.2,5
0.53,0.057,3.17,9.1,5
0.33,0.049,3.46,11.5,5
0.14,0.036,3.47,10.4666666666667,5
0.14,0.036,3.47,10.4666666666667,5
0.14,0.036,3.47,10.5,5
0.04,0.058,3.17,10.2,4
0.32,0.062,3.23,10.5,5
0.04,0.058,3.17,10.2,4
0.32,0.053,3.38,8.8,5
0.33,0.041,3.1,9.8,5
0.33,0.041,3.1,9.8,5
0.32,0.044,3.11,12.25,5
0.43,0.05,3.27,10.7,5
0.6,0.048,3.24,11.85,5
0.46,0.05,3.24,9.6,5
0.37,0.032,3.32,11.2,5
0.19,0.043,3.67,10,5
0.25,0.047,3.44,10.5,3
0.24,0.05,3.12,9.3,5
0.37,0.032,3.32,11.2,5
0.45,0.057,3.16,9.1,5
0.34,0.045,3.16,11.2,4
0,0.037,3.1,10.9,4
0.09,0.042,3.15,9.7,5
0.1,0.043,3.14,9.8,5
0.31,0.045,3.02,10.2,5
0.31,0.045,3.02,10.2,5
0.3,0.174,3.18,9.4,5
0.19,0.042,3.16,10.3,5
0.46,0.033,3.24,12.1,4
0.67,0.053,3.19,10.9,5
0.4,0.054,3.42,9.1,5
0.5,0.127,3.1,9.7,5
0.5,0.127,3.1,9.7,5
0.35,0.042,3.23,9.2,5
0.35,0.042,3.23,9.2,5
0.26,0.057,3.24,10.7,5
0.36,0.096,3.11,9.6,5
0.15,0.038,3.52,11.6,4
0.25,0.046,3.21,11.3,5
0.29,0.136,3.18,9.5,5
0.44,0.055,3.1,9.6,5
0.44,0.055,3.1,9.6,5
0.38,0.044,3.3,11.4,5
0.23,0.047,3.32,11.4,5
0.51,0.055,3.12,9.6,5
0.23,0.066,3.3,9.63333333333333,5
0.41,0.032,3.14,9.7,5
0,0.032,3.25,8.8,5
0.02,0.035,3.24,9.5,4
0.13,0.037,3.26,10.7,5
0.38,0.048,3.14,9.6,5
0.36,0.052,3.04,9.2,5
0.38,0.032,3.29,9.7,5
0.36,0.047,3.15,9.6,5
